candidate_id,rank,score,reasoning
CAND_0088025,11,0.9592,"Strong candidate. Accomplished Staff Machine Learning Engineer with 8.6 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a good mix of product and services experience. We note a minor concern regarding a 90-day notice period, but their core ML depth aligns very well with the JD."
CAND_0006418,12,0.9576,"Strong candidate. Accomplished Machine Learning Engineer with 5.7 years of experience, displaying solid expertise in vector databases, semantic search. They possess a strong product company background. We note a minor concern regarding a 60-day notice period, but their core ML depth aligns very well with the JD."
CAND_0011687,13,0.956,"Strong candidate. Accomplished Senior NLP Engineer with 7.8 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding based in remote (requires remote or relocation negotiation), but their core ML depth aligns very well with the JD."
CAND_0071974,14,0.9549,"Strong candidate. Accomplished Senior AI Engineer with 7.8 years of experience, displaying solid expertise in vector databases, semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 45-day notice period, but their core ML depth aligns very well with the JD."
CAND_0006567,15,0.95,"Strong candidate. Accomplished Senior AI Engineer with 7.9 years of experience, displaying solid expertise in ranking systems, semantic search. They possess a strong product company background. We note a minor concern regarding a 60-day notice period, but their core ML depth aligns very well with the JD."
CAND_0039754,16,0.9452,"Strong candidate. Accomplished Senior Applied Scientist with 16.2 years of experience, displaying solid expertise in vector databases, semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding currently in remote but open to relocation, but their core ML depth aligns very well with the JD."
CAND_0018499,17,0.9175,"Strong candidate. Accomplished Senior Machine Learning Engineer with 7.2 years of experience, displaying solid expertise in vector databases, semantic search. They possess a strong product company background. We note a minor concern regarding currently in remote but open to relocation, but their core ML depth aligns very well with the JD."
CAND_0081846,18,0.9132,"Strong candidate. Accomplished Lead AI Engineer with 6.7 years of experience, displaying solid expertise in semantic search. They possess a strong product company background. We note a minor concern regarding currently in remote but open to relocation, but their core ML depth aligns very well with the JD."
CAND_0079064,19,0.9108,"Strong candidate. Accomplished Senior Data Scientist with 5.2 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 120-day notice period, but their core ML depth aligns very well with the JD."
CAND_0081053,20,0.8952,"Strong candidate. Accomplished NLP Engineer with 5.4 years of experience, displaying solid expertise in vector databases, semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 90-day notice period, but their core ML depth aligns very well with the JD."
CAND_0069905,21,0.8945,"Strong candidate. Accomplished Applied ML Engineer with 6.6 years of experience, displaying solid expertise in LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 90-day notice period, but their core ML depth aligns very well with the JD."
CAND_0076163,22,0.8846,"Strong candidate. Accomplished NLP Engineer with 6.9 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 60-day notice period, but their core ML depth aligns very well with the JD."
CAND_0018722,23,0.8803,"Strong candidate. Accomplished Recommendation Systems Engineer with 6.6 years of experience, displaying solid expertise in LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 90-day notice period, but their core ML depth aligns very well with the JD."
CAND_0046525,24,0.8669,"Strong candidate. Accomplished Senior Machine Learning Engineer with 6.1 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a good mix of product and services experience. We note a minor concern regarding a 60-day notice period, but their core ML depth aligns very well with the JD."
CAND_0093912,25,0.854,"Strong candidate. Accomplished Senior Data Scientist with 5.3 years of experience, displaying solid expertise in semantic search. They possess a strong product company background. We note a minor concern regarding based in remote (requires remote or relocation negotiation), but their core ML depth aligns very well with the JD."
CAND_0017960,26,0.8529,"Strong candidate. Accomplished Recommendation Systems Engineer with 7.7 years of experience, displaying solid expertise in LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 60-day notice period, but their core ML depth aligns very well with the JD."
CAND_0078492,27,0.8502,"Strong candidate. Accomplished Recommendation Systems Engineer with 5.1 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding currently in remote but open to relocation, but their core ML depth aligns very well with the JD."
CAND_0037566,28,0.8436,"Strong candidate. Accomplished Machine Learning Engineer with 6.9 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding currently in remote but open to relocation, but their core ML depth aligns very well with the JD."
CAND_0005649,29,0.8404,"Strong candidate. Accomplished Senior Data Scientist with 7.4 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 90-day notice period, but their core ML depth aligns very well with the JD."
CAND_0074225,30,0.8391,"Strong candidate. Accomplished Machine Learning Engineer with 4.3 years of experience, displaying solid expertise in vector databases, semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 120-day notice period, but their core ML depth aligns very well with the JD."
CAND_0030468,31,0.8379,"Strong candidate. Accomplished Senior Applied Scientist with 5.4 years of experience, displaying solid expertise in ranking systems, semantic search. They possess a strong product company background. We note a minor concern regarding a 45-day notice period, but their core ML depth aligns very well with the JD."
CAND_0074735,32,0.8304,"Strong candidate. Accomplished Applied ML Engineer with 5.5 years of experience, displaying solid expertise in semantic search. They possess a strong product company background. We note a minor concern regarding a 90-day notice period, but their core ML depth aligns very well with the JD."
CAND_0046064,33,0.8277,"Strong candidate. Accomplished Senior NLP Engineer with 8.9 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding based in remote (requires remote or relocation negotiation), but their core ML depth aligns very well with the JD."
CAND_0010257,34,0.8262,"Strong candidate. Accomplished Senior Data Scientist with 6.5 years of experience, displaying solid expertise in vector databases. They possess a strong product company background. We note a minor concern regarding a 120-day notice period, but their core ML depth aligns very well with the JD."
CAND_0054394,35,0.819,"Strong candidate. Accomplished Recommendation Systems Engineer with 4.1 years of experience, displaying solid expertise in LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding based in remote (requires remote or relocation negotiation), but their core ML depth aligns very well with the JD."
CAND_0014440,36,0.817,"Strong candidate. Accomplished Recommendation Systems Engineer with 6.4 years of experience, displaying solid expertise in vector databases, semantic search. They possess a strong product company background. We note a minor concern regarding a 60-day notice period, but their core ML depth aligns very well with the JD."
CAND_0039838,37,0.8039,"Strong candidate. Accomplished Recommendation Systems Engineer with 4.9 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 90-day notice period, but their core ML depth aligns very well with the JD."
CAND_0027691,38,0.7945,"Strong candidate. Accomplished NLP Engineer with 6.5 years of experience, displaying solid expertise in LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding based in remote (requires remote or relocation negotiation), but their core ML depth aligns very well with the JD."
CAND_0066999,39,0.7925,"Strong candidate. Accomplished Recommendation Systems Engineer with 5.9 years of experience, displaying solid expertise in semantic search. They possess a strong product company background. We note a minor concern regarding currently in remote but open to relocation, but their core ML depth aligns very well with the JD."
CAND_0086022,40,0.7872,"Strong candidate. Accomplished Senior Applied Scientist with 5.3 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding currently in remote but open to relocation, but their core ML depth aligns very well with the JD."
CAND_0078002,41,0.7868,"Strong candidate. Accomplished Machine Learning Engineer with 6.3 years of experience, displaying solid expertise in LLM fine-tuning. They possess a good mix of product and services experience. We note a minor concern regarding a 60-day notice period, but their core ML depth aligns very well with the JD."
CAND_0037980,42,0.7837,"Strong candidate. Accomplished Senior Applied Scientist with 9.0 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding currently in remote but open to relocation, but their core ML depth aligns very well with the JD."
CAND_0018549,43,0.7789,"Strong candidate. Accomplished Recommendation Systems Engineer with 6.8 years of experience, displaying solid expertise in vector databases, semantic search. They possess a strong product company background. We note a minor concern regarding a 60-day notice period, but their core ML depth aligns very well with the JD."
CAND_0075574,44,0.7755,"Strong candidate. Accomplished Machine Learning Engineer with 5.7 years of experience, displaying solid expertise in vector databases, semantic search, LLM fine-tuning. They possess a good mix of product and services experience. We note a minor concern regarding a 60-day notice period, but their core ML depth aligns very well with the JD."
CAND_0011162,45,0.7668,"Strong candidate. Accomplished Recommendation Systems Engineer with 5.8 years of experience, displaying solid expertise in vector databases, semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 90-day notice period, but their core ML depth aligns very well with the JD."
CAND_0020708,46,0.7628,"Strong candidate. Accomplished Search Engineer with 4.2 years of experience, displaying solid expertise in LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding based in remote (requires remote or relocation negotiation), but their core ML depth aligns very well with the JD."
CAND_0095619,47,0.7586,"Strong candidate. Accomplished NLP Engineer with 15.6 years of experience, displaying solid expertise in vector databases, semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding based in remote (requires remote or relocation negotiation), but their core ML depth aligns very well with the JD."
CAND_0049538,48,0.7474,"Strong candidate. Accomplished Applied ML Engineer with 5.8 years of experience, displaying solid expertise in semantic search, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding based in remote (requires remote or relocation negotiation), but their core ML depth aligns very well with the JD."
CAND_0096142,49,0.7455,"Strong candidate. Accomplished Applied ML Engineer with 5.0 years of experience, displaying solid expertise in vector databases, LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 120-day notice period, but their core ML depth aligns very well with the JD."
CAND_0051615,50,0.7354,"Strong candidate. Accomplished Search Engineer with 4.6 years of experience, displaying solid expertise in LLM fine-tuning. They possess a strong product company background. We note a minor concern regarding a 60-day notice period, but their core ML depth aligns very well with the JD."
CAND_0041610,51,0.7353,"Capable filler match. 6.7-year Recommendation Systems Engineer with adjacent skills in semantic search and a clean professional track record. Primary concerns are currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0068351,52,0.7337,"Capable filler match. 6.4-year Lead AI Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0008425,53,0.732,"Capable filler match. 7.8-year Senior NLP Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 90-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0081852,54,0.732,"Capable filler match. 5.9-year Senior Data Scientist with adjacent skills in vector databases, semantic search and a clean professional track record. Primary concerns are a 45-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0054123,55,0.7314,"Capable filler match. 4.7-year Applied ML Engineer with adjacent skills in vector databases, semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 60-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0077285,56,0.7303,"Capable filler match. 5.5-year Recommendation Systems Engineer with adjacent skills in vector databases, semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 60-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0016163,57,0.7301,"Capable filler match. 6.7-year Applied ML Engineer with adjacent skills in vector databases, LLM fine-tuning and a clean professional track record. Primary concerns are a 120-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0039383,58,0.7273,"Capable filler match. 7.1-year Applied ML Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 90-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0084819,59,0.725,"Capable filler match. 4.5-year Search Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 120-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0099806,60,0.7245,"Capable filler match. 4.6-year AI Engineer with adjacent skills in vector databases, semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are currently in remote but open to relocation, and slightly below the preferred experience range (4.6 years). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0040887,61,0.7202,"Capable filler match. 4.7-year Machine Learning Engineer with adjacent skills in LLM fine-tuning and a clean professional track record. Primary concerns are based in remote (requires remote or relocation negotiation), and slightly below the preferred experience range (4.7 years). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0007009,62,0.7175,"Capable filler match. 7.9-year Recommendation Systems Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0062247,63,0.7077,"Capable filler match. 7.3-year AI Engineer with adjacent skills in vector databases, semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0019480,64,0.7056,"Capable filler match. 2.8-year NLP Engineer with adjacent skills in semantic search and a clean professional track record. Primary concerns are a 90-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0030348,65,0.7052,"Capable filler match. 4.5-year Machine Learning Engineer with adjacent skills in semantic search and a clean professional track record. Primary concerns are a 45-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0051004,66,0.7052,"Capable filler match. 4.7-year Senior Data Scientist with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are currently in remote but open to relocation, and slightly below the preferred experience range (4.7 years). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0079387,67,0.7015,"Capable filler match. 6.9-year AI Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0075249,68,0.6895,"Capable filler match. 6.2-year Applied ML Engineer with adjacent skills in vector databases, LLM fine-tuning and a clean professional track record. Primary concerns are a 45-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0042506,69,0.6882,"Capable filler match. 4.2-year Search Engineer with adjacent skills in vector databases, semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are based in remote (requires remote or relocation negotiation), and slightly below the preferred experience range (4.2 years). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0093193,70,0.6861,"Capable filler match. 7.9-year Senior Machine Learning Engineer with adjacent skills in semantic search and a clean professional track record. Primary concerns are a 45-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0061265,71,0.6841,"Capable filler match. 6.6-year Recommendation Systems Engineer with adjacent skills in vector databases, LLM fine-tuning and a clean professional track record. Primary concerns are a 120-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0013536,72,0.683,"Capable filler match. 14.1-year Applied ML Engineer with adjacent skills in vector databases, semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 90-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0020877,73,0.6825,"Capable filler match. 5.1-year Applied ML Engineer with adjacent skills in vector databases, semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 60-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0028793,74,0.6815,"Capable filler match. 7.2-year Search Engineer with adjacent skills in LLM fine-tuning and a clean professional track record. Primary concerns are a 120-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0068811,75,0.6768,"Capable filler match. 8.0-year Applied ML Engineer with adjacent skills in vector databases, semantic search and a clean professional track record. Primary concerns are currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0055905,76,0.6756,"Capable filler match. 8.1-year Senior Machine Learning Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0036437,77,0.6744,"Capable filler match. 4.8-year Search Engineer with adjacent skills in vector databases, semantic search and a clean professional track record. Primary concerns are currently in remote but open to relocation, and slightly below the preferred experience range (4.8 years). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0053591,78,0.6621,"Capable filler match. 5.3-year AI Engineer with adjacent skills in vector databases, semantic search and a clean professional track record. Primary concerns are a 60-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0078042,79,0.6619,"Capable filler match. 4.7-year Applied ML Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are based in remote (requires remote or relocation negotiation), and slightly below the preferred experience range (4.7 years). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0083879,80,0.657,"Capable filler match. 7.1-year Machine Learning Engineer with adjacent skills in LLM fine-tuning and a clean professional track record. Primary concerns are based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0061339,81,0.6546,"Capable filler match. 4.2-year Search Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 90-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0010770,82,0.6524,"Capable filler match. 15.2-year Recommendation Systems Engineer with adjacent skills in LLM fine-tuning and a clean professional track record. Primary concerns are currently in remote but open to relocation, and more senior than typical founding team range (15.2 years). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0029367,83,0.6501,"Capable filler match. 5.7-year Senior Data Scientist with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 90-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0098846,84,0.649,"Capable filler match. 7.6-year AI Engineer with adjacent skills in LLM fine-tuning and a clean professional track record. Primary concerns are a 45-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0081686,85,0.6475,"Capable filler match. 6.0-year Search Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 60-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0027801,86,0.6446,"Capable filler match. 7.4-year NLP Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 120-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0010685,87,0.6394,"Capable filler match. 6.7-year NLP Engineer with adjacent skills in semantic search and a clean professional track record. Primary concerns are based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0094056,88,0.6389,"Capable filler match. 5.9-year NLP Engineer with adjacent skills in vector databases, LLM fine-tuning and a clean professional track record. Primary concerns are a 120-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0052335,89,0.6367,"Capable filler match. 6.4-year Applied ML Engineer with adjacent skills in LLM fine-tuning and a clean professional track record. Primary concerns are a 60-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0095528,90,0.6353,"Capable filler match. 5.3-year Senior Data Scientist with adjacent skills in semantic search and a clean professional track record. Primary concerns are a 45-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0076831,91,0.6349,"Capable filler match. 4.0-year Search Engineer with adjacent skills in vector databases, LLM fine-tuning and a clean professional track record. Primary concerns are a 90-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0061655,92,0.6309,"Capable filler match. 4.6-year Machine Learning Engineer with adjacent skills in vector databases, semantic search and a clean professional track record. Primary concerns are based in remote (requires remote or relocation negotiation), and slightly below the preferred experience range (4.6 years). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0080766,93,0.6287,"Capable filler match. 8.8-year Staff Machine Learning Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0026532,94,0.6225,"Capable filler match. 4.8-year Recommendation Systems Engineer with adjacent skills in vector databases, semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 90-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0070398,95,0.6224,"Capable filler match. 7.2-year Machine Learning Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are a 120-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0042029,96,0.6191,"Capable filler match. 6.5-year Senior Data Scientist with adjacent skills in semantic search and a clean professional track record. Primary concerns are a 45-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0058688,97,0.6165,"Capable filler match. 6.7-year AI Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0050454,98,0.6161,"Capable filler match. 6.8-year AI Engineer with adjacent skills in semantic search, LLM fine-tuning and a clean professional track record. Primary concerns are currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0009691,99,0.6129,"Capable filler match. 6.2-year Applied ML Engineer with adjacent skills in vector databases, LLM fine-tuning and a clean professional track record. Primary concerns are a 120-day notice period, and currently in remote but open to relocation. Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
CAND_0009837,100,0.6096,"Capable filler match. 4.3-year Senior Data Scientist with adjacent skills in LLM fine-tuning and a clean professional track record. Primary concerns are a 60-day notice period, and based in remote (requires remote or relocation negotiation). Included in the top 100 due to solid coding fundamentals and active engagement metrics, despite some alignment gaps."
